epoch,accuracy,loss,val_accuracy,val_loss
0,0.7820000052452087,0.590407133102417,0.8787500262260437,0.28490114212036133
1,0.8579999804496765,0.3554483652114868,0.8962500095367432,0.2632303833961487
2,0.8899999856948853,0.2861907482147217,0.8662499785423279,0.33522045612335205
3,0.906000018119812,0.2517480254173279,0.8324999809265137,0.5373290181159973
4,0.9139999747276306,0.22277310490608215,0.893750011920929,0.2718384265899658
5,0.9225000143051147,0.19161629676818848,0.8912500143051147,0.3314738869667053
6,0.9334999918937683,0.17207801342010498,0.8137500286102295,0.5789889693260193
7,0.9380000233650208,0.163431316614151,0.8924999833106995,0.3310336172580719
8,0.9484999775886536,0.13225658237934113,0.8987500071525574,0.32480838894844055
9,0.9570000171661377,0.13513655960559845,0.8987500071525574,0.3218419551849365
